Index,A0,A1,A2,M0,M1,M2,O0,O1,O2,Time
1,-0.0495,-6.9757,6.9084,-27.7206,2.4414,-26.7593,121.1563,45.3281,-0.25,2018/12/9 10:08
2,-0.0435,-6.9717,6.9012,-27.9755,1.9073,-26.8021,121.1563,45.3281,-0.25,2018/12/9 10:08
3,-0.0514,-6.9785,6.9056,-27.9495,2.2903,-26.9409,121.1563,45.3281,-0.25,2018/12/9 10:08
4,-0.049,-6.9749,6.9,-28.1311,2.0157,-26.9486,121.1563,45.3281,-0.25,2018/12/9 10:08
5,-0.049,-6.9825,6.9024,-27.4841,1.8906,-26.8448,121.1563,45.3281,-0.25,2018/12/9 10:08
6,-0.0475,-6.9809,6.8956,-28.2486,2.1744,-26.9852,121.1563,45.3281,-0.25,2018/12/9 10:08
7,-0.0522,-6.9785,6.8988,-27.655,2.3315,-26.387,121.1563,45.3281,-0.25,2018/12/9 10:08
8,-0.0419,-6.9777,6.9052,-28.3722,2.1912,-26.8265,121.1563,45.3281,-0.25,2018/12/9 10:08
9,-0.0467,-6.9785,6.9028,-27.8488,1.9821,-26.2039,121.1563,45.3281,-0.25,2018/12/9 10:08
10,-0.0479,-6.9789,6.9012,-28.3814,1.4664,-26.9348,121.1563,45.3281,-0.25,2018/12/9 10:08
11,-0.0506,-6.9789,6.9036,-28.0533,2.0477,-26.7197,121.1563,45.3281,-0.25,2018/12/9 10:08
12,-0.0499,-6.9777,6.9048,-27.4796,2.1454,-26.4618,121.1563,45.3281,-0.25,2018/12/9 10:08
13,-0.0451,-6.9785,6.9008,-27.7512,2.8778,-26.4023,121.1563,45.3281,-0.25,2018/12/9 10:08
14,-0.0482,-6.9805,6.9004,-27.5421,1.8646,-26.5976,121.1563,45.3281,-0.25,2018/12/9 10:08
15,-0.049,-6.9857,6.9012,-27.6245,2.1408,-27.0401,121.1563,45.3281,-0.25,2018/12/9 10:08
16,-0.0475,-6.9793,6.9036,-27.4521,2.478,-27.2888,121.1563,45.3281,-0.25,2018/12/9 10:08
17,-0.0479,-6.9769,6.9032,-28.2913,1.9257,-26.6663,121.1563,45.3281,-0.25,2018/12/9 10:08
18,-0.0466,-6.9789,6.9036,-28.1097,2.5635,-27.2415,121.1563,45.3281,-0.25,2018/12/9 10:08
19,-0.0499,-6.9777,6.9,-27.5131,1.6434,-26.8906,121.1563,45.3281,-0.25,2018/12/9 10:08
20,-0.0482,-6.9761,6.9032,-27.861,2.3758,-26.6174,121.1563,45.3281,-0.25,2018/12/9 10:08
21,-0.0415,-6.9789,6.8984,-27.594,2.6749,-26.767,121.1563,45.3281,-0.25,2018/12/9 10:08
22,-0.0526,-6.9817,6.9004,-27.5833,2.037,-27.1286,121.1563,45.3281,-0.25,2018/12/9 10:08
23,-0.0475,-6.9753,6.9024,-27.6367,2.5513,-27.2034,121.1563,45.3281,-0.25,2018/12/9 10:08
24,-0.0499,-6.9809,6.9004,-27.0035,2.211,-26.9501,121.1563,45.3281,-0.25,2018/12/9 10:08
25,-0.0499,-6.9765,6.8964,-27.7191,2.3575,-26.4008,121.1563,45.3281,-0.25,2018/12/9 10:08
26,-0.0475,-6.9813,6.8992,-28.1509,2.3788,-26.6815,121.1563,45.3281,-0.25,2018/12/9 10:08
27,-0.0486,-6.9761,6.9012,-27.0523,2.3758,-26.0056,121.1563,45.3281,-0.25,2018/12/9 10:08
28,-0.0487,-6.9809,6.8988,-28.5111,1.9974,-27.4109,121.1563,45.3281,-0.25,2018/12/9 10:08
29,-0.0502,-6.9813,6.8944,-28.2852,1.8112,-26.8631,121.1563,45.3281,-0.25,2018/12/9 10:08
