Index,A0,A1,A2,M0,M1,M2,O0,O1,O2,Time
1,-0.0467,-6.998,6.884,0.5539,-8.4442,-38.4827,180.5313,45.6094,-0.3438,2018/12/9 10:10
2,-0.0506,-6.9901,6.8844,0.4639,-8.6502,-38.5162,180.5313,45.6094,-0.3438,2018/12/9 10:10
3,-0.0475,-6.9941,6.8876,0.9201,-8.4503,-39.267,180.4219,45.4219,-0.2969,2018/12/9 10:10
4,-0.0455,-6.9957,6.8904,0.6119,-8.5342,-38.4369,180.8438,45.375,-0.2344,2018/12/9 10:10
5,-0.0502,-6.998,6.8864,0.7492,-8.3496,-38.2919,180.9219,45.4219,-0.25,2018/12/9 10:10
6,-0.0447,-6.9905,6.8944,0.7141,-8.0322,-37.9715,180.9219,45.4219,-0.25,2018/12/9 10:10
7,-0.0431,-6.9893,6.8928,1.0651,-8.2764,-38.3011,180.9219,45.4219,-0.25,2018/12/9 10:10
8,-0.0518,-6.9925,6.8952,0.708,-8.5052,-37.9746,180.9219,45.4219,-0.25,2018/12/9 10:10
9,-0.0435,-6.9901,6.8876,0.7355,-8.255,-39.3799,180.9219,45.4219,-0.25,2018/12/9 10:10
10,-0.0463,-6.9885,6.8928,0.2899,-8.7585,-38.8077,180.9219,45.4219,-0.2656,2018/12/9 10:10
11,-0.0486,-6.9945,6.8904,1.0895,-8.9767,-37.7258,180.9063,45.4219,-0.2656,2018/12/9 10:10
12,-0.0495,-6.9901,6.8904,0.4242,-8.6716,-38.4796,180.9063,45.4219,-0.2656,2018/12/9 10:10
13,-0.0447,-6.9845,6.8928,0.0397,-8.8074,-37.9654,180.9063,45.4219,-0.2656,2018/12/9 10:10
14,-0.0467,-6.9917,6.8896,1.3794,-7.8171,-39.0793,180.9063,45.4219,-0.2656,2018/12/9 10:10
15,-0.0443,-6.9965,6.8916,-0.0748,-8.9447,-39.4104,180.9063,45.4219,-0.2656,2018/12/9 10:10
16,-0.0443,-6.9877,6.8904,0.5905,-8.5861,-38.9771,180.9063,45.4219,-0.2656,2018/12/9 10:10
17,-0.0451,-6.9885,6.8872,0.0992,-9.169,-38.3133,180.9063,45.4219,-0.2656,2018/12/9 10:10
18,-0.0443,-6.9945,6.8904,0.4211,-8.4427,-38.6169,180.9063,45.4219,-0.2656,2018/12/9 10:10
19,-0.0395,-6.9937,6.8944,0.6958,-8.7021,-38.0478,180.9063,45.4219,-0.2656,2018/12/9 10:10
20,-0.0459,-6.9909,6.8924,0.7263,-8.873,-38.2507,180.9063,45.4219,-0.2656,2018/12/9 10:10
21,-0.0475,-6.9905,6.8952,0.4837,-7.9926,-38.5284,180.9063,45.4219,-0.2656,2018/12/9 10:10
22,-0.0506,-6.9917,6.8928,0.795,-8.2901,-39.5172,180.9063,45.4219,-0.2656,2018/12/9 10:10
23,-0.0447,-6.9901,6.894,0.6622,-8.5571,-38.5437,180.9063,45.4219,-0.2656,2018/12/9 10:10
24,-0.0399,-6.9877,6.8932,0.3769,-8.551,-38.533,180.9063,45.4219,-0.2656,2018/12/9 10:10
25,-0.0471,-6.9905,6.8868,0.0198,-8.7692,-38.8687,180.9063,45.4219,-0.2656,2018/12/9 10:10
26,-0.0435,-6.9989,6.8912,0.2213,-8.3511,-38.7833,180.9063,45.4219,-0.2656,2018/12/9 10:10
27,-0.0443,-6.9893,6.8932,-0.1678,-9.3033,-38.9984,180.9063,45.4219,-0.2656,2018/12/9 10:10
28,-0.0462,-6.9921,6.8872,0.3632,-9.0042,-38.089,180.9063,45.4219,-0.2656,2018/12/9 10:10
29,-0.0466,-6.9913,6.8916,0.5783,-8.4747,-38.3255,180.9063,45.4219,-0.2656,2018/12/9 10:10
30,-0.0427,-6.9905,6.8912,0.6531,-9.1202,-37.8418,180.9063,45.4219,-0.2656,2018/12/9 10:10
31,-0.0451,-6.9933,6.8912,0.1434,-8.9478,-38.2614,180.9063,45.4219,-0.2656,2018/12/9 10:10
32,-0.0423,-6.996,6.894,0.4059,-9.5444,-38.6353,180.9063,45.4219,-0.2656,2018/12/9 10:10
33,-0.0455,-6.9945,6.8916,0.5203,-7.9987,-39.0152,180.9063,45.4219,-0.2656,2018/12/9 10:10
34,-0.051,-6.9984,6.8912,0.2258,-8.5892,-38.5422,180.9063,45.4219,-0.2656,2018/12/9 10:10
35,-0.0427,-6.9897,6.8884,0.6042,-8.6899,-37.6556,180.9063,45.4219,-0.2656,2018/12/9 10:10
36,-0.0502,-6.9925,6.8916,0.3098,-8.8165,-37.9379,180.9063,45.4219,-0.2656,2018/12/9 10:10
37,-0.0482,-6.9913,6.8936,0.061,-8.2947,-37.7579,180.9063,45.4219,-0.2656,2018/12/9 10:10
38,-0.0475,-6.9897,6.8848,0.0824,-9.2834,-38.7772,180.9063,45.4219,-0.2656,2018/12/9 10:10
39,-0.0471,-6.9949,6.8924,0.9338,-8.638,-38.0158,180.9063,45.4219,-0.2656,2018/12/9 10:10
40,-0.0495,-6.9945,6.8956,0.7843,-8.1879,-38.6627,180.9063,45.4219,-0.2656,2018/12/9 10:10
