Index,A0,A1,A2,M0,M1,M2,O0,O1,O2,Time
1,-0.0207,-6.9697,6.9055,-16.1652,32.8064,4.8279,30.2344,45.5156,0.0132,2018/12/9 10:06
2,-0.0103,-6.9621,6.9036,-16.4276,33.8989,4.9912,30.2344,45.5156,0.0132,2018/12/9 10:06
3,-0.0139,-6.9705,6.9064,-16.4337,33.7082,4.5776,30.2344,45.5156,0.0132,2018/12/9 10:06
4,-0.0139,-6.9673,6.904,-16.6138,33.313,4.0009,30.2344,45.5156,0.0132,2018/12/9 10:06
5,-0.0203,-6.9665,6.9072,-16.1957,33.1406,4.4693,30.2344,45.5156,0.0132,2018/12/9 10:06
6,-0.0199,-6.9677,6.9056,-16.359,33.0658,4.3335,30.2344,45.5156,0.0132,2018/12/9 10:06
7,-0.0155,-6.9617,6.9,-16.3757,32.8827,4.3579,30.2344,45.5156,0.0132,2018/12/9 10:06
8,-0.0127,-6.9689,6.9008,-16.8167,33.1406,5.0339,30.2344,45.5156,0.0132,2018/12/9 10:06
9,-0.0123,-6.9681,6.9076,-16.1758,33.4473,4.3243,30.2344,45.5156,0.0132,2018/12/9 10:06
10,-0.0139,-6.9717,6.9032,-17.482,32.6401,4.6661,30.2344,45.5156,0.0132,2018/12/9 10:06
11,-0.0159,-6.9673,6.8984,-16.2125,33.0124,4.6387,30.2188,45.5156,0.0132,2018/12/9 10:06
12,-0.0139,-6.9657,6.9,-17.0166,33.1055,4.4052,30.2188,45.5156,0.0132,2018/12/9 10:06
13,-0.0099,-6.9669,6.8984,-16.3269,33.8577,4.7165,30.2188,45.5156,0.0132,2018/12/9 10:06
14,-0.0195,-6.9665,6.9052,-16.0233,33.3359,4.7867,30.2188,45.5156,0.0132,2018/12/9 10:06
15,-0.0163,-6.9661,6.9044,-16.246,33.284,4.5059,30.2188,45.5156,0.0132,2018/12/9 10:06
16,-0.0123,-6.9717,6.9016,-16.5787,33.197,4.6265,30.2188,45.5156,0.0132,2018/12/9 10:06
17,-0.0096,-6.9665,6.8984,-16.8716,32.5256,4.4174,30.2188,45.5156,0.0132,2018/12/9 10:06
18,-0.0119,-6.9669,6.9068,-16.7648,33.4473,3.9841,30.2188,45.5156,0.0132,2018/12/9 10:06
19,-0.0116,-6.9625,6.9068,-16.7435,32.9392,4.5929,30.2188,45.5156,0.0132,2018/12/9 10:06
20,-0.0187,-6.9685,6.9028,-16.4887,32.8156,4.7821,30.2188,45.5156,0.0132,2018/12/9 10:06
21,-0.0167,-6.9657,6.906,-16.5619,33.4076,4.0344,30.2188,45.5156,0.0132,2018/12/9 10:06
22,-0.0127,-6.9653,6.8996,-17.0303,33.3344,5.1712,30.2188,45.5156,0.0132,2018/12/9 10:06
23,-0.0147,-6.9609,6.9016,-16.4993,33.1345,4.509,30.2188,45.5156,0.0132,2018/12/9 10:06
24,-0.0139,-6.9665,6.9056,-16.5237,33.1253,4.4266,30.2188,45.5156,0.0132,2018/12/9 10:06
25,-0.0171,-6.9673,6.902,-16.6733,33.4518,4.5761,30.2188,45.5156,0.0132,2018/12/9 10:06
26,-0.0155,-6.9685,6.904,-16.2705,33.1711,4.5303,30.2188,45.5156,0.0132,2018/12/9 10:06
27,-0.0195,-6.9737,6.906,-16.2048,33.0872,4.8981,30.2188,45.5156,0.0132,2018/12/9 10:06
28,-0.0159,-6.9633,6.9056,-17.1204,32.2968,4.7775,30.2188,45.5156,0.0132,2018/12/9 10:06
29,-0.0231,-6.9665,6.902,-16.684,33.0902,5.3009,30.2188,45.5156,0.0132,2018/12/9 10:06
30,-0.0203,-6.9681,6.9012,-16.0492,32.9865,4.631,30.2188,45.5156,0.0132,2018/12/9 10:06
31,-0.0139,-6.9633,6.9028,-16.8823,32.9224,4.2221,30.2188,45.5156,0.0132,2018/12/9 10:06
32,-0.0179,-6.9653,6.9048,-16.3651,33.4412,4.4556,30.2188,45.5156,0.0132,2018/12/9 10:06
33,-0.0187,-6.9729,6.9004,-16.9769,32.9605,4.2419,30.2188,45.5156,0.0132,2018/12/9 10:06
34,-0.0119,-6.9673,6.9048,-16.6504,32.2846,3.6133,30.2188,45.5156,0.0132,2018/12/9 10:06
