Index,A0,A1,A2,M0,M1,M2,O0,O1,O2,Time
1,-0.051,-6.9805,6.8908,-15.5594,-6.6666,-35.6461,150.4844,45.375,-0.3125,2018/12/9 10:09
2,-0.049,-6.9821,6.894,-15.7867,-5.4077,-35.321,150.4844,45.375,-0.3125,2018/12/9 10:09
3,-0.0495,-6.9849,6.8984,-15.622,-6.3644,-34.8785,150.4844,45.375,-0.3125,2018/12/9 10:09
4,-0.0506,-6.9865,6.898,-15.4434,-5.9006,-35.5484,150.4844,45.375,-0.3125,2018/12/9 10:09
5,-0.0526,-6.9789,6.8928,-15.9897,-6.6162,-35.3867,150.4844,45.375,-0.3125,2018/12/9 10:09
6,-0.0506,-6.9833,6.8984,-15.7745,-5.9586,-36.0519,150.4844,45.375,-0.3125,2018/12/9 10:09
7,-0.0499,-6.9881,6.8924,-15.7593,-5.5084,-34.8923,150.4844,45.375,-0.3125,2018/12/9 10:09
8,-0.0475,-6.9869,6.8944,-15.448,-6.2958,-35.463,150.4844,45.375,-0.3125,2018/12/9 10:09
9,-0.049,-6.9869,6.894,-16.2842,-5.9067,-35.5011,150.4844,45.375,-0.3125,2018/12/9 10:09
10,-0.0482,-6.9861,6.8972,-16.4032,-6.0486,-35.582,150.4844,45.375,-0.3125,2018/12/9 10:09
11,-0.0506,-6.9817,6.896,-16.0034,-5.957,-35.4279,150.4844,45.375,-0.3125,2018/12/9 10:09
12,-0.0522,-6.9873,6.8976,-15.596,-5.6839,-35.3851,150.4844,45.375,-0.3125,2018/12/9 10:09
13,-0.053,-6.9893,6.8952,-15.506,-5.9402,-35.527,150.4844,45.375,-0.3125,2018/12/9 10:09
14,-0.0502,-6.9885,6.8992,-16.3208,-5.9586,-35.0037,150.4844,45.375,-0.3125,2018/12/9 10:09
15,-0.0479,-6.9877,6.89,-14.6149,-5.8212,-35.3317,150.4844,45.375,-0.3125,2018/12/9 10:09
16,-0.0486,-6.9829,6.896,-15.5853,-6.1966,-34.5841,150.4844,45.375,-0.3125,2018/12/9 10:09
17,-0.0451,-6.9877,6.8972,-16.1545,-6.1371,-35.643,150.4844,45.375,-0.3125,2018/12/9 10:09
18,-0.051,-6.9881,6.8956,-15.6799,-5.6564,-36.3068,150.4844,45.375,-0.3125,2018/12/9 10:09
19,-0.0538,-6.9853,6.8984,-15.8478,-5.9601,-34.9854,150.4844,45.375,-0.3125,2018/12/9 10:09
20,-0.0482,-6.9857,6.8964,-15.6097,-6.5109,-35.6033,150.4844,45.375,-0.3125,2018/12/9 10:09
21,-0.0471,-6.9873,6.8968,-16.2354,-5.6412,-35.6293,150.4844,45.375,-0.3125,2018/12/9 10:09
22,-0.0475,-6.9857,6.8976,-16.0187,-5.5191,-34.5444,150.4844,45.375,-0.3125,2018/12/9 10:09
23,-0.0502,-6.9909,6.8924,-15.831,-6.1737,-36.1923,150.4844,45.375,-0.3125,2018/12/9 10:09
24,-0.0486,-6.9873,6.894,-15.686,-5.6702,-34.1232,150.4844,45.375,-0.3125,2018/12/9 10:09
25,-0.049,-6.9829,6.8992,-15.9103,-6.221,-35.9222,150.4844,45.375,-0.3125,2018/12/9 10:09
26,-0.0554,-6.9829,6.8984,-15.9027,-5.751,-35.3058,150.4844,45.375,-0.3125,2018/12/9 10:09
27,-0.0506,-6.9877,6.8916,-15.2573,-5.4749,-35.9497,150.4844,45.375,-0.3125,2018/12/9 10:09
28,-0.0462,-6.9857,6.8976,-15.4129,-5.7068,-36.0245,150.4844,45.375,-0.3125,2018/12/9 10:09
29,-0.0499,-6.9833,6.898,-15.2664,-5.8746,-35.2234,150.4844,45.375,-0.3125,2018/12/9 10:09
30,-0.0482,-6.9857,6.8952,-15.4083,-5.8411,-35.3897,150.4844,45.375,-0.3125,2018/12/9 10:09
31,-0.0554,-6.9821,6.894,-15.9668,-6.2271,-35.6354,150.4844,45.375,-0.3125,2018/12/9 10:09
32,-0.0486,-6.9837,6.894,-15.9744,-6.2927,-35.0723,150.4844,45.375,-0.3125,2018/12/9 10:09
33,-0.051,-6.9909,6.894,-15.9744,-6.2271,-34.7611,150.4844,45.375,-0.3125,2018/12/9 10:09
34,-0.0499,-6.9873,6.8968,-15.7196,-6.0211,-35.7346,150.4844,45.375,-0.3125,2018/12/9 10:09
35,-0.0518,-6.9877,6.8928,-15.8585,-6.2485,-35.3378,150.4844,45.375,-0.3125,2018/12/9 10:09
36,-0.0463,-6.9849,6.8968,-15.7166,-5.3101,-34.8343,150.4844,45.375,-0.3125,2018/12/9 10:09
37,-0.0495,-6.9857,6.894,-15.4434,-5.5435,-35.5209,150.4844,45.375,-0.3125,2018/12/9 10:09
38,-0.0558,-6.9897,6.896,-16.0461,-6.1661,-35.3912,150.4844,45.375,-0.3125,2018/12/9 10:09
39,-0.0462,-6.9857,6.8976,-15.7517,-6.0547,-35.3241,150.4844,45.375,-0.3125,2018/12/9 10:09
40,-0.0526,-6.9909,6.8944,-15.4404,-6.2805,-35.6735,150.4844,45.375,-0.3125,2018/12/9 10:09
41,-0.0578,-6.9905,6.8952,-15.6662,-5.9738,-35.9451,150.4844,45.375,-0.3125,2018/12/9 10:09
42,-0.053,-6.9901,6.8948,-15.5716,-5.6778,-35.1196,150.4844,45.375,-0.3125,2018/12/9 10:09
43,-0.0466,-6.9901,6.8932,-16.0782,-6.5338,-35.7056,150.4844,45.375,-0.3125,2018/12/9 10:09
